Date,Day,ADR Model,ADR Conf,ADR Sess,ADR Mid Trans,ADR Mid Box,ADR Mid Session,ODR Model,ODR BOX,ODR CONFO,ODR TRUERUE,ODR Confirmation Time,ODR Max Ext,ODR Max Ret,odr_false_conf_time,odr_end_of_session_SD,ODR END OF SESSION LOCATION,ODR Mid Trans,ODR Mid Box,ODR Mid Session,RDR Model,RDR BOX,RDR IDR MID,RDR DR MID,RDR Conf,RDR Sess,ADR MID RDR Trans,ADR MID RDR BOX,ADR MID RDR SESSION
2008-02-07,Thursday,DXP,Long,TRUE,broken,broken,broken,U,GREEN,Short,TRUE,07:45,0.209,-0.1045,,0.1642,below,intact,broken,broken,D,GREEN,-0.15,-0.15,Long,TRUE,broken,broken,intact
2008-02-08,Friday,UXP,Long,TRUE,intact,intact,intact,UXP,GREEN,Long,TRUE,04:45,1.9643,-0.7857,,0.1429,above,intact,intact,intact,UXP,GREEN,2.35,2.33,Long,TRUE,intact,intact,intact
2008-02-11,Monday,UXP,Short,TRUE,intact,intact,intact,DXP,RED,Long,TRUE,04:45,1.2128,-1.0426,,1.0851,above,broken,broken,broken,D,GREEN,-1.03,-0.94,Long,TRUE,intact,intact,broken
2008-02-12,Tuesday,UXP,Short,TRUE,intact,intact,broken,DX,GREEN,Long,FALSE,04:00,1.4286,-4.4286,07:00,-2.4286,below,broken,broken,broken,RX,GREEN,-0.54,-0.25,Long,FALSE,broken,broken,broken
2008-02-13,Wednesday,RC,Long,FALSE,intact,intact,broken,DXP,GREEN,Short,FALSE,04:25,1.3571,-2.9286,04:45,0.5357,below,broken,intact,broken,DXP,GREEN,0.85,0.98,Short,FALSE,intact,intact,broken
2008-02-14,Thursday,UXP,Long,FALSE,intact,intact,intact,UXP,GREEN,Long,FALSE,04:15,4.6667,-2.3333,05:35,4.5333,above,intact,intact,intact,UXP,GREEN,3.99,3.99,Long,TRUE,intact,intact,intact
2008-02-15,Friday,UXP,Short,TRUE,broken,intact,intact,UXP,RED,Long,TRUE,04:25,1.1892,-1.027,,0.9459,above,intact,intact,broken,UXP,RED,2.1,2.18,Short,TRUE,intact,intact,broken
2008-02-19,Tuesday,DXP,Long,TRUE,intact,intact,intact,UXP,RED,Short,FALSE,04:10,0.9286,-10.5714,04:55,-7.7857,above,intact,intact,intact,UXP,RED,-14.11,-14.68,Short,FALSE,intact,intact,intact
2008-02-20,Wednesday,UXP,Long,TRUE,broken,broken,broken,D,RED,Short,FALSE,04:00,0.8444,-1.2667,08:00,-0.6889,inside,broken,broken,broken,D,GREEN,0.28,0.36,Long,TRUE,intact,intact,broken
2008-02-21,Thursday,UXP,Long,TRUE,intact,intact,broken,UX,RED,Short,TRUE,04:05,3.1842,-0.3684,,2.7895,below,intact,intact,intact,DXP,RED,3.3,3.35,Long,FALSE,intact,intact,broken
2008-02-22,Friday,DXP,Long,TRUE,intact,broken,intact,UX,RED,Long,TRUE,05:00,3.8182,-0.0909,,0.303,above,intact,broken,broken,RX,RED,-0.2,-0.11,Long,TRUE,intact,broken,broken
2008-02-25,Monday,UXP,Short,FALSE,broken,intact,broken,DXP,RED,Long,FALSE,04:20,1.4706,-5.1176,05:30,-2.1765,below,intact,intact,broken,DXP,RED,-6.3,6.59,Long,TRUE,intact,intact,broken
2008-02-26,Tuesday,UXP,Short,TRUE,intact,intact,broken,DXP,RED,Short,FALSE,04:10,0.44,-2.96,06:00,-1.4,above,broken,broken,intact,UX,GREEN,-1.5,-1.53,Long,TRUE,intact,broken,broken
2008-02-27,Wednesday,UXP,Short,TRUE,broken,intact,broken,UXP,GREEN,Short,TRUE,04:45,2.087,0,,1.9565,below,intact,intact,intact,DXP,RED,1.29,1.3,Short,FALSE,intact,broken,broken
2008-02-28,Thursday,DXP,Short,TRUE,intact,intact,broken,DXP,RED,Long,TRUE,06:30,1.1887,0.1132,,0.9434,above,intact,intact,intact,UXP,RED,2.27,2.21,Long,TRUE,intact,intact,intact
2008-02-29,Friday,UXP,Neutral,Neutral,broken,intact,intact,DX,RED,Short,TRUE,04:05,1.0893,-0.7679,,0.25,below,broken,intact,broken,DX,RED,0.5,0.54,Long,TRUE,intact,intact,intact
2008-03-03,Monday,RC,Long,TRUE,intact,broken,intact,RX,RED,Short,TRUE,05:20,2.2973,0,,0.5405,below,broken,intact,broken,UXP,GREEN,-5.02,-5.1,Short,TRUE,broken,intact,broken
2008-03-04,Tuesday,DXP,Long,FALSE,intact,broken,broken,RX,GREEN,Short,FALSE,04:15,0.6296,-1.9259,06:45,-1.5926,above,broken,broken,broken,RX,RED,-0.77,-0.88,Short,TRUE,broken,broken,broken
2008-03-05,Wednesday,DXP,Short,TRUE,broken,broken,intact,UX,RED,Long,TRUE,04:05,3.12,-0.16,,1.12,above,intact,intact,intact,UXP,GREEN,5.33,5.51,Long,TRUE,intact,intact,intact
2008-03-06,Thursday,UXP,Short,TRUE,intact,intact,broken,DXP,GREEN,Short,FALSE,04:20,1.2174,-7.6957,05:05,-1.8696,above,broken,broken,broken,RX,RED,-0.03,-0.47,Long,FALSE,broken,broken,broken
2008-03-07,Friday,UXP,Short,TRUE,broken,intact,broken,DXP,RED,Short,FALSE,05:35,0.3,-2.3,06:10,-1.675,above,broken,broken,broken,DX,GREEN,1,0.91,Long,TRUE,broken,intact,broken
2008-03-10,Monday,UX,Short,TRUE,broken,broken,broken,RC,GREEN,Long,FALSE,04:05,0.8846,-4.8077,05:00,-4.5,below,intact,broken,intact,RX,GREEN,-0.52,-0.87,Long,TRUE,intact,broken,intact
