Date,Day,ODR Model,ODR Type,Color,RDR Model,ADR std Based RDR open,ODR std Based RDR open,ADR or ODR bigger
3/11/2020,wednesday,rc,short true,red,dxp,-0.5,-0.5,adr
3/12/2020,thursday,dxp,short true,red,dxp,-7.5,-2,odr
3/13/2020,friday,uxp,long true,green,rc,2.5,0,odr
3/16/2020,monday,dx,short true,green,dxp,-1.5,-3.5,adr
3/17/2020,tuesday,uxp,short true,green,dxp,-1.5,-6,adr
3/18/2020,wednesday,dx,short true,red,dxp,-4,-7.5,adr
3/19/2020,thursday,dxp,long false,red,d,-2.5,0,odr
3/20/2020,friday,uxp,long false,red,dxp,-1.5,-4,adr
3/23/2020,monday,uxp,short false,green,d,0.5,0.5,adr
3/24/2020,tuesday,ux,long false,red,dxp,0,0,adr
3/25/2020,wednesday,ux,short true,red,dxp,-2.5,-7,adr
3/26/2020,thursday,dxp,short false,red,d,-1.5,0,adr
3/27/2020,friday,dxp,short true,red,dxp,-4.5,-5,adr
3/30/2020,monday,dx,long false,red,dx,0,0,adr
3/31/2020,tuesday,uxp,long false,green,dxp,1.5,-0.5,adr
4/1/2020,wednesday,rc,short false,green,rc,0,0,adr
4/2/2020,thursday,uxp,short false,red,rx,2.5,0,adr
4/3/2020,friday,ux,long true,green,uxp,2.5,2.5,adr
4/6/2020,monday,uxp,short true,green,dxp,2,-3,adr
4/7/2020,tuesday,u,long false,green,dxp,-2.5,-3.5,adr
4/8/2020,wednesday,rc,short true,green,rx,-0.5,-0.5,adr
4/9/2020,thursday,ux,short false,green,rx,0.5,0,adr
4/13/2020,monday,rc,short true,red,uxp,0,1,adr
4/14/2020,tuesday,dxp,short true,red,dxp,-4.5,-2.5,odr
4/15/2020,wednesday,dxp,short true,red,u,-3.5,0,odr
4/16/2020,thursday,dxp,long true,green,rx,0,9.5,adr
4/17/2020,friday,dxp,long false,red,dxp,-7.5,-1,odr
4/20/2020,monday,dxp,short true,red,dxp,-9,-7.5,adr
4/22/2020,wednesday,dxp,na,green,uxp,0.5,2,odr
4/23/2020,thursday,ux,long true,red,uxp,4,3.5,adr
4/24/2020,friday,dxp,short false,red,uxp,0.5,3,adr
4/27/2020,monday,dxp,long false,green,dxp,-7.5,-14.5,adr
4/28/2020,tuesday,dxp,short false,red,uxp,0,3.5,odr
4/29/2020,wednesday,uxp,long true,green,uxp,4.5,3,adr
4/30/2020,thursday,uxp,long true,green,ux,4.5,0,odr
5/1/2020,friday,dxp,short false,red,u,0,2,adr
5/4/2020,monday,ux,short false,red,uxp,2,4,adr
5/5/2020,tuesday,uxp,short false,red,uxp,6,2,odr
5/6/2020,wednesday,dxp,long false,red,dxp,-1,-3.5,adr
5/7/2020,thursday,rc,long true,green,uxp,5,7,adr
5/8/2020,friday,uxp,short true,green,d,1.5,-1.5,adr
5/11/2020,monday,dx,short false,red,uxp,1.5,1.5,odr
5/12/2020,tuesday,uxp,long true,green,uxp,2.5,5.5,adr
5/13/2020,wednesday,u,short false,red,u,5,1,odr
5/14/2020,thursday,uxp,long true,green,ux,1,1.5,adr
5/15/2020,friday,uxp,short true,green,rx,1,0,adr
5/18/2020,monday,uxp,long true,green,uxp,3,6.5,adr
5/19/2020,tuesday,dxp,short true,green,rx,-2,0.5,odr
5/20/2020,wednesday,rx,long true,red,uxp,5,2.5,odr
5/21/2020,thursday,uxp,short false,red,ux,3,1,odr
5/22/2020,friday,dxp,long true,red,uxp,-6,2.5,odr
5/25/2020,monday,uxp,na,red,dx,1,o,adr
5/26/2020,tuesday,uxp,short true,red,rx,2,-1.5,adr
5/27/2020,wednesday,dxp,long true,red,dxp,-1.5,-1.5,adr
5/28/2020,thursday,u,long true,green,uxp,2.5,3,adr
5/29/2020,friday,dxp,short true,red,ux,-1,0,odr
6/1/2020,monday,ux,short true,red,dxp,-1.5,-3.5,adr
6/2/2020,tuesday,uxp,long true,green,uxp,4.5,1,odr
6/3/2020,wednesday,uxp,short true,red,dxp,-3,-4.5,odr
6/4/2020,thursday,dxp,long true,red,uxp,-0.5,1,adr
6/5/2020,friday,uxp,long true,green,uxp,9,2,odr
6/8/2020,monday,dxp,short true,green,dxp,-7.5,-5.5,odr
6/9/2020,tuesday,dxp,short true,red,dx,-3.5,0,odr
6/10/2020,wednesday,d,short true,red,d,0,0.5,adr
6/11/2020,thursday,dxp,long false,red,dxp,-17,-6.5,odr
6/12/2020,friday,rc,long true,green,uxp,1,1.5,adr
6/15/2020,monday,dxp,long true,green,u,-1.5,0,adr
6/16/2020,tuesday,rc,long true,green,uxp,2.5,3.5,adr
6/17/2020,wednesday,uxp,long false,green,dx,0.5,0,odr
6/18/2020,thursday,uxp,long true,green,u,1,0,adr
6/19/2020,friday,ux,long true,green,uxp,2,1,odr
6/22/2020,monday,u,short true,green,rx,0,0,odr
6/23/2020,tuesday,d,long true,green,u,0.5,0.5,odr
6/24/2020,wednesday,rx,short true,red,dxp,-1.5,-1,odr
6/25/2020,thursday,dxp,long true,red,uxp,-0.5,0.5,odr
6/26/2020,friday,d,short false,green,dxp,-1,-1,adr
6/29/2020,monday,u,short false,red,uxp,4,2.5,odr
6/30/2020,tuesday,dx,short true,red,rx,-1,-1.5,adr
7/1/2020,wednesday,uxp,long false,green,dx,0.5,-0.5,odr
7/2/2020,thursday,uxp,long false,green,rx,3.5,0.5,odr
7/3/2020,friday,dxp,short true,red,dx,-1.5,0,odr
7/6/2020,monday,uxp,short true,green,dxp,-1.5,-2,odr
7/7/2020,tuesday,dxp,long false,green,uxp,-5.5,1,odr
7/8/2020,wednesday,u,long true,green,uxp,1,0.5,odr
7/9/2020,thursday,dxp,long true,red,dxp,-3.5,-0.5,odr
7/10/2020,friday,dxp,long false,green,uxp,0,2.5,odr
7/13/2020,monday,rx,short true,red,u,1.5,1,odr
7/14/2020,tuesday,dx,long true,red,u,-2.5,-0.5,odr
7/15/2020,wednesday,u,long true,green,d,0,0,odr
7/16/2020,thursday,dxp,long true,green,d,-5,-0.5,odr
7/17/2020,friday,dxp,short true,red,rx,-0.5,0.5,odr
7/20/2020,monday,dxp,long true,red,rx,-2,0.5,odr
7/21/2020,tuesday,dxp,long true,green,uxp,9,9.5,adr
7/22/2020,wednesday,u,short true,red,dx,-1.5,-1,odr
7/23/2020,thursday,uxp,long false,na,dxp,-1,-4,adr
7/24/2020,friday,dx,long true,green,u,1,0.5,odr
7/27/2020,monday,dx,long true,red,dxp,-0.5,0,adr
7/28/2020,tuesday,dx,short true,red,dxp,-4.5,-2,odr
7/29/2020,wednesday,ux,long true,green,u,1,0,odr
7/30/2020,thursday,dxp,long false,red,dxp,-15.5,-3.5,odr
7/31/2020,friday,d,short true,green,rx,0.5,0.5,odr
8/3/2020,monday,dxp,long true,red,uxp,1.5,2,odr
8/4/2020,tuesday,uxp,short true,red,rx,-0.5,-1,odr
8/6/2020,thursday,d,long true,red,ux,1,1.5,adr
8/7/2020,friday,dxp,short true,green,dxp,-4.5,-2,odr
8/10/2020,monday,u,long true,green,uxp,2,1,odr
8/11/2020,tuesday,uxp,long true,green,u,7,1,odr
8/12/2020,wednesday,uxp,long true,red,uxp,6,3,odr
8/13/2020,thursday,d,long true,green,rx,-1,-1,adr
8/14/2020,friday,dxp,short true,red,u,-2,0,odr
8/17/2020,monday,rx,short true,red,rx,-5.5,-2,odr
8/18/2020,tuesday,rx,long false,green,dxp,-6,-1.5,odr
8/19/2020,wednesday,d,short true,red,d,-0.5,0,odr
8/20/2020,thursday,dxp,short true,green,dxp,-10,-10.5,adr
8/21/2020,friday,dxp,short true,red,dxp,-15.5,-5.5,odr
8/24/2020,monday,uxp,long true,green,rx,0.5,-0.5,adr
8/25/2020,tuesday,u,long true,red,uxp,13,6,odr
8/26/2020,wednesday,d,short true,green,uxp,1,1.5,odr
8/27/2020,thursday,rx,short true,green,dxp,-0.5,0,odr
8/28/2020,friday,d,long true,red,rx,1.5,1.5,odr
8/31/2020,monday,uxp,long true,green,dxp,2,0,odr
9/1/2020,tuesday,uxp,short true,green,rx,0.5,-1,odr
9/2/2020,wednesday,uxp,short true,red,dxp,-8,-5,odr
9/3/2020,thursday,dxp,short true,red,d,-11.5,-3.5,odr
9/4/2020,friday,rx,long true,green,dx,0,0,odr
9/7/2020,monday,uxp,long false,green,d,0.5,0,adr
9/8/2020,tuesday,dxp,short true,red,dxp,-22.5,-12,odr
